product_id,product_name,product_company,category,product_size,product_price
88411,"Matcha Road, Matcha + Collagen, Grass-Fed Collagen Peptides, 7.9 oz (224 g)",Matcha Road,Tea,224 g,39.21
96659,"California Gold Nutrition, Superfoods, Matcha Green Tea Powder, 4 oz (114 g)",California Gold Nutrition,Tea,114 g,26.96
96973,"Matcha Road, Matcha + Vitamin C, Trial Pack (Citrus Ginger, Dragon Fruit, Original), 3 Packets, 0.18 oz (5 g) Each",Matcha Road,Tea,5 g,8.99
41988,"Yogi Tea, Organic, Honey Lavender Stress Relief, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea,Tea,29 g,6.5
69658,"MRM, Matcha Green Tea Powder, 6 oz (170 g)",MRM,Tea,170 g,24.49
41989,"Yogi Tea, Positive Energy, Sweet Tangerine, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea,Tea,29 g,6.5
5500,"Yogi Tea, Organic, Bedtime, Caffeine Free, 16 Tea Bags, .85 oz (24 g)",Yogi Tea,Tea,24 g,6.5
30664,"Yogi Tea, Skin DeTox, Soothing Rose Hibiscus, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea,Tea,32 g,6.5
5494,"Yogi Tea, Organic, Green Tea Kombucha, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea,Tea,32 g,6.5
6871,"Traditional Medicinals, Herbal Teas, Organic Roasted Dandelion Root, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz (24 g)",Traditional Medicinals,Tea,24 g,7.86
30795,"Frontier Natural Products, Whole Elder Berries, 16 oz (453 g)",Frontier Natural Products,Tea,453 g,27.97
5501,"Yogi Tea, Lemon Ginger, Caffeine Free, 16 Tea Bags, 1.27 oz (36 g)",Yogi Tea,Tea,36 g,6.5
5491,"Yogi Tea, Echinacea Immune Support, Caffeine Free, 16 Tea Bags, .85 oz (24 g)",Yogi Tea,Tea,24 g,6.5
6800,"Traditional Medicinals, Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 16 Wrapped Tea Bags, .99 oz (28 g)",Traditional Medicinals,Tea,28 g,7.86
82075,"Traditional Medicinals, Women's Teas, Organic Mother's Milk, Naturally Caffeine Free, 32 Wrapped Tea Bags, 1.98 oz (56 g)",Traditional Medicinals,Tea,56 g,17.22
41694,"Traditional Medicinals, Herbal Teas, Organic Chamomile with Lavender, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz (24 g)",Traditional Medicinals,Tea,24 g,7.84
92291,"Hana Beverages, Matcha Latte, Non-Coffee Superfood Beverage, 16 oz (454 g)",Hana Beverages,Tea,454 g,30.55
92295,"Hana Beverages, Matcha Latte, Non-Coffee Superfood Beverage, 3.3 oz (93.6 g)",Hana Beverages,Tea,93,12.58
5513,"Yogi Tea, Organic, Chai Rooibos, Caffeine Free, 16 Tea Bags, 1.27 oz (36 g)",Yogi Tea,Tea,36 g,6.5
16319,"Uncle Lee's Tea, Legends of China, Dieter's 100% Natural Herbal Drink, No Caffeine, 30 Tea Bags, 2.42 oz (69.g)",Uncle Lee's Tea,Tea,69,6.5
5481,"Yogi Tea, Detox, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea,Tea,29 g,6.5
39947,"Now Foods, Real Tea, Pau D'Arco, Caffeine-Free, 24 Tea Bags, 1.7 oz (48 g)",Now Foods,Tea,48 g,7.42
41678,"Organic India, Tulsi Tea, Sleep, Caffeine Free, 18 Infusion Bags, 1.14 oz (32.4 g)",Organic India,Tea,32,8.43
6734,"Traditional Medicinals, Herbal Teas, Organic Peppermint, Naturally Caffeine Free, 16 Wrapped Tea Bags, .85 oz. (24 g)",Traditional Medicinals,Tea,24 g,7.84
26708,"Stash Tea, Herbal Tea, Lemon Ginger, Caffeine Free, 20 Tea Bags, 1.1 oz (34 g)",Stash Tea,Tea,34 g,5.2
73326,"Yogi Tea, Organic Mango Ginger, Caffeine Free, 16 Tea Bags, 1.12 oz (32 g)",Yogi Tea,Tea,32 g,6.5
7764,"Yogi Tea, Woman's Raspberry Leaf, Caffeine Free, 16 Tea Bags, 1.02 oz (29 g)",Yogi Tea,Tea,29 g,6.5
